datetime,streamflow_m^3/s
1980-08-30T00:00:00Z,0.18112314
1980-08-31T00:00:00Z,0.21946964
1980-09-01T00:00:00Z,0.17741351
1980-09-02T00:00:00Z,0.1414847
1980-09-03T00:00:00Z,0.15791477
1980-09-04T00:00:00Z,0.14800553
1980-09-05T00:00:00Z,0.13295533
1980-09-06T00:00:00Z,0.13034591
1980-09-07T00:00:00Z,0.14008461
1980-09-08T00:00:00Z,0.15895149
1980-09-09T00:00:00Z,0.43401083
1980-09-10T00:00:00Z,0.31351218
1980-09-11T00:00:00Z,2.9485705
1980-09-12T00:00:00Z,2.3522336
1980-09-13T00:00:00Z,0.8797674
1980-09-14T00:00:00Z,3.3841898
1980-09-15T00:00:00Z,2.2936618
1980-09-16T00:00:00Z,0.52224374
1980-09-17T00:00:00Z,0.16007467
1980-09-18T00:00:00Z,0.117948644
1980-09-19T00:00:00Z,0.87503535
1980-09-20T00:00:00Z,0.79274803
1980-09-21T00:00:00Z,0.479759
1980-09-22T00:00:00Z,0.24848427
1980-09-23T00:00:00Z,0.133974
1980-09-24T00:00:00Z,0.11705286
1980-09-25T00:00:00Z,0.11781795
1980-09-26T00:00:00Z,0.11915794
1980-09-27T00:00:00Z,0.1171285
1980-09-28T00:00:00Z,0.114716254
1980-09-29T00:00:00Z,0.114592284
1980-09-30T00:00:00Z,0.119175486
1980-10-01T00:00:00Z,0.12120248
1980-10-02T00:00:00Z,0.115891516
1980-10-03T00:00:00Z,0.11670403
1980-10-04T00:00:00Z,0.116211556
1980-10-05T00:00:00Z,0.11544983
1980-10-06T00:00:00Z,0.113709174
1980-10-07T00:00:00Z,0.11730001
1980-10-08T00:00:00Z,0.116296984
1980-10-09T00:00:00Z,0.11527467
1980-10-10T00:00:00Z,0.11942686
1980-10-11T00:00:00Z,0.11980491
1980-10-12T00:00:00Z,0.120035
1980-10-13T00:00:00Z,0.9947089
1980-10-14T00:00:00Z,0.98343563
1980-10-15T00:00:00Z,0.6661515
1980-10-16T00:00:00Z,0.4870232
1980-10-17T00:00:00Z,0.64989114
1980-10-18T00:00:00Z,0.47372958
1980-10-19T00:00:00Z,0.32039928
1980-10-20T00:00:00Z,0.28083062
1980-10-21T00:00:00Z,0.23097554
1980-10-22T00:00:00Z,0.18098468
1980-10-23T00:00:00Z,0.14294843
1980-10-24T00:00:00Z,0.12576485
1980-10-25T00:00:00Z,0.12462004
1980-10-26T00:00:00Z,0.9787274
